"","Area","Diameter","Height","Length","Major.Axis.Intensity","Major.Axis","Minor.Axis.Intensity","Minor.Axis","Perimeter","Spot.Area.Min","Thickness.Max","Thickness.Min","Width","Aspect.Ratio.Intensity","Aspect.Ratio","Circularity","Compactness","Elongatedness","Lobe.Count","Shape.Ratio","Symmetry.2","Symmetry.3","Symmetry.4","BDI.R3","BDI.R7","Contrast","Modulation","Spot.Count","Std.Dev","Ckit","Sca1","Region"
"8869",140,13.35454788,13,13,10.8378562,13.99046703,8.353041436,12.80936742,58,140,14,12,13,0.770728203,0.915578257,11.81489211,0.60338069,1,1,0.923076923,11.6452334,3.169726672,2.766541515,3325,314,4.202217493,0.05801622,1,24.40388372,4612.36,1934.84,"R2+TPO"
"9087",143,13.4968739,14,14,9.713517067,13.70830665,8.85287426,13.35515597,58,143,14,12,13,0.911397406,0.974238198,12.59897365,0.556013386,1.076923077,3,0.857142857,4.364884963,8.595133238,5.260607941,4631.99999,361,15.26932788,0.12605042,1,47.69976768,4993.925,2755.425,"R3+TPO"
"9272",135,13.11390568,13,13,10.00990194,13.76429829,7.756213402,12.49161714,54,135,12,12,12,0.774854084,0.907537521,14.28150376,0.549286455,1.083333333,1,0.923076923,13.13487362,5.896211291,3.376891682,3964.000006,348.9999971,12.17197724,0.123966942,1,49.01290331,2618.65625,2648.163158,"R2+TPO"
"9277",222,16.81673416,17,17,11.66887367,17.22904155,11.01672105,16.38943504,70,222,16,14,16,0.944111776,0.95126795,20.54847284,0.5441248,1.0625,1,0.823529412,2.075891478,3.498251593,1.30124447,10004.99994,435.9999995,28.18348139,0.226578073,1,86.03007632,4537.767857,895.2857143,"R4+TPO"
"9478",152,13.91512031,14,14,10.08719135,14.48774437,9.270774347,13.33678395,58,152,14,12,13,0.919063992,0.920556272,16.01634786,0.440592333,1.076923077,3,0.857142857,7.409099649,9.933248278,1.331572093,7489.999998,604.9999747,24.89938551,0.175205566,1,63.67740795,6419.821429,1118,"R4+TPO"
"9519",147,13.68433946,13,13,8.513853888,13.94506926,7.772992543,13.47048499,56,147,14,12,13,0.91298167,0.965967593,15.01460203,0.52063609,1,3,0.923076923,7.628023865,8.114444943,5.089326122,7486,206,21.92270385,0.175764847,1,67.01905824,7653.298077,4346.879808,"R3+TPO"
"9596",123,12.51750367,12,12,8.036027865,12.7884463,7.185429616,12.23838774,52,123,12,10,12,0.894151904,0.95698785,15.12743591,0.549804793,1,1,0.833333333,5.081502627,3.667777346,2.014229577,4244.999992,208.0000019,17.53200482,0.123609394,1,51.20840891,2188.851852,1211.222222,"R2+TPO"
"9690",141,13.40215783,13,13,9.790182606,13.61330517,8.207604917,13.21564892,56,141,14,12,13,0.838350544,0.970789147,14.35968521,0.533782609,1,1,0.923076923,7.291707743,6.267106666,3.599147728,4083.000005,405.9999964,10.62232024,0.108723135,1,40.32923706,1730.569444,5279.791667,"R2+TPO"
"9872",203,16.08100513,17,17,13.27620398,17.45944189,10.28136351,14.82519786,68,203,16,16,15,0.774420423,0.849122094,11.79988337,0.515599443,1.133333333,2,0.941176471,16.32018838,5.657032457,2.892381713,8399,1306,29.75472286,0.177533893,1,60.71101121,14498.20313,10378.65625,"R3+TPO"
"9899",129,12.81917354,13,13,9.071721695,13.66378961,7.22826359,12.03401301,54,129,12,10,12,0.796790712,0.880722944,11.4813944,0.566706387,1.083333333,3,0.769230769,12.58386492,9.779873312,4.901739921,2863.999995,255.9999981,6.12559544,0.095765472,1,32.93584348,2272.734375,1142.65625,"R2+TPO"
